intent,text
greeting,"Halo, apa kabar?"
greeting,"Hai, senang bertemu denganmu!"
greeting,"Selamat pagi!"
greeting,"Selamat siang!"
greeting,"Selamat sore!"
greeting,"Selamat malam!"
greeting,"Hai!"
greeting,"Halo!"
greeting,"Hai, apa kabar hari ini?"
greeting,"Hai, bagaimana kabarmu?"
greeting,"Hi, how are you?"
greeting,"Hello, nice to meet you!"
greeting,"Good morning!"
greeting,"Hi, how's your day going?"
greeting,"Hey, how are you doing?"
time,"Sekarang jam berapa?"
time,"Pukul berapa sekarang?"
time,"Boleh tahu jam berapa sekarang?"
time,"What time is it now?"
time,"Can you tell me the current time?"
time,"What's the current time?"
time,"What time is it?"
time,"Could you let me know the time?"
date,"Tanggal berapa sekarang?"
date,"Sekrang sudah tanggal berapa ya?"
date,"hari apa sekarang?"
date,"Tolong informasikan tanggal hari ini."
date,"Saya ingin tahu tanggal saat ini."
date,"Bisa beri tahu saya tanggal sekarang?"
date,"Tanggal sekarang apa ya?"
date,"What date today?"
date,"What date now?"
date,"What is the date today?"
date,"Can you please provide the current date?"
date,"I want to know the current date."
date,"Can you tell me the date today?"
date,"What's the current date?"
name,"nama kamu siapa?"
name,"nama please?"
name,"tebak nama kamu?"
name,"saya perlu tahu nama kamu?"
name,"ayolah, sebutkan nama kamu?"
name,"apakah kamu punya nama?"
name,"kiri-kira siapa nama kamu?"
name,"Siapa nama kamu?"
name,"Siapa nama chatbot ini?"
name,"Boleh tahu nama chatbotnya?"
name,"Chatbot ini namanya apa ya?"
name,"Tolong beritahu saya nama chatbot."
name,"Chatbot ini diberi nama apa?"
name,"What is your name?"
name,"What is the name of this chatbot?"
name,"May I know the name of the chatbot?"
name,"What's the name of this chatbot?"
name,"Can you please tell me the name of the chatbot?"
name,"What is the chatbot's name?"
hobby,"Apa hobi kamu?"
hobby,"Apa yang kamu sukai?"
hobby,"Apa hobi kamu?"
hobby,"hobi kamu?"
hobby,"hobi hobby kamu?"
hobby,"hobi kamu apa?"
hobby,"Apa kebiasaan kamu?"
hobby,"Bisakah kamu berbagi tentang hobi yang kamu miliki?"
hobby,"Apakah ada hobi yang kamu sukai?"
hobby,"Bagaimana kamu biasanya menghabiskan waktu luang?"
hobby,"Ceritakan tentang kegiatan favoritmu."
hobby,"What are your hobbies or habits?"
hobby,"Can you share about the hobbies you have?"
hobby,"Do you have any hobbies you enjoy?"
hobby,"How do you usually spend your free time?"
hobby,"Tell me about your favorite activities."
human,"Apakah kamu manusia?"
human,"siapa kamu?"
human,"Apakah kamu robot?"
human,"Apakah kamu ai kecerdasan buatan?"
human,"Kamu manusia atau bukan?"
human,"Bisakah kamu mengatakan apakah kamu manusia atau tidak?"
human,"Apa asalmu? Manusia atau bukan?"
human,"Apakah kamu memiliki kehidupan seperti manusia?"
human,"Are you a human?"
human,"Are you a human or not?"
human,"Can you tell me if you're a human or not?"
human,"What is your origin? Are you a human or something else?"
human,"Do you have a human-like existence?"
human,"apakah kamu punya perasaan?"
human,"apakah kamu hidup seperti manusia?"
human,"apakah kamu nyata?"
human,"Apakah kamu bisa memprediksi sesuatu?"
thankyou,"Terima kasih!"
thankyou,"Makasih ya!"
thankyou,"Terima kasih banyak!"
thankyou,"Saya sangat menghargai bantuanmu!"
thankyou,"Sangat berterima kasih atas apa yang telah kamu lakukan!"
thankyou,"Thank you!"
thankyou,"Thanks!"
thankyou,"Thank you so much!"
thankyou,"I really appreciate your help!"
thankyou,"I'm extremely grateful for what you've done!"
good,"mantap sekali."
good,"mantap."
good,"pintar."
good,"pintarrrr sekali."
good,"Oke."
good,"Oke oke ok."
good,"Baik."
good,"Bagus."
good,"bagussssssss sekali"
good,"mantap sekali"
good,"Sip."
good,"Lancar jaya."
good,"Okay."
good,"Good."
good,"Good job."
good,"Great."
good,"Alright."
good,"Smooth sailing."
good,"saya suka unklab"
general,"apa kepanjangan dari unklab?"
general,"apa arti kata unklab?"
general,"berapa jumlah dosen di unklab?"
general,"dosen di fakultas apa?"
general,"berapa fakultas di universitas klabat?"
general,"apa kepanjangan dari kata unklab?"
general,"apa kepanjangan dari istilah unklab?"
general,"aku senang dengan unklab."
general,"seberapa besar universitas klabat?"
general,"universitas klabat"
general,"universitas klabat (Unklab)"
general,"Deskripsikan tentang unklab dengan singkat."
general,"Dengan 2 kalimat, jelaskan tentang unklab?"
general,"Dengan menggunakan 3 kalimat, jelaskan tentang unklab?"
general,"Hal baru apa saja yang ada di unklab?"
general,"unklab"
general,"Gambaran unklab itu seperti apa?"
general,"Gambaran universitas klabat itu seperti apa?"
general,"Gambaran campus unklab itu seperti apa?"
general,"berikan saya sedikit gambaran tentang unklab universitas klabat?"
general,"dapatkah kamu gambarkan campus unklab itu seperti apa?"
general,"Saya senang dengan kamu."
general,"apa itu unklab?"
general,"apakah kamu tahu tentang unklab?"
general,"apakah kamu tahu tentang universitas klabat?"
general,"apa itu universitas klabat?"
general,"universitas klabat?"
general,"klabat university?"
general,"saya tidak tahu universitas klabat?"
general,"saya tidak tahu unklab?"
general,"berikan saya sedikit informasi tentang unklab?"
general,"informasi tentang unklab."
general,"informasi umum tentang universitas klabat."
general,"berikan sedikit informasi tentang unklab?"
general,"apa ya unklab itu?"
general,"unklab adalah"
general,"universitas klabat adalah"
general,"Alamat dari campus Unklab?"
general,"dimana alamat unklab"
general,"dimana situs web unklab?"
general,"dimana alamat situs website unklab?"
general,"dimana lokasi unklab"
general,"saya mau ke unklab, tapi tidak tahu alamat unklab."
general,"dimana alamat atau lokasi unklab"
general,"Nomor telepon unklab?"
general,"apakah kamu tahu nomor telepon unklab?"
general,"apakah ada nomor yang bisa dihubungi di unklab?"
general,"Email unklab?"
general,"nomor hp unklab yang bisa dihubungi?"
general,"Email unklab yang bisa dihubungi?"
general,"apakah kamu tahu email unklab?"
general,"dimana alamat unklab sekarang?"
general,"apa yang kamu suka dengan unklab?"
general,"apakah kamu suka dengan Universitas Klabat?"
general,"apakah kamu suka dengan unklab?"
general,"apa yang menarik dari Universitas Klabat?"
general,"saya butuh bantuan untuk cari informasi tentang unklab?"
general,"bagaimana keamanan di dalam campus unklab?"
general,"bagaimana keadaan di dalam campus unklab?"
general,"apa saja yang perlu di siapkan untuk pendaftaran?"
general,"Dimana alamat dari campus universitas klabat (Unklab)"
general,"Sistem pendidikan apa yang diadopsi oleh unklab?"
general,"Apa yang dimaksud dengan Bilingual Campus di unklab?"
general,"Mengapa unklab disebut sebagai Bilingual Campus?"
general,"Berapa total program studi di unklab?"
general,"Dosen unklab tamat dari mana saja?"
general,"Dosen dengan gelar Master dan Doktor tamat dari mana?"
general,"Budaya kampus di UNKLAB didasarkan pada pemahaman nasional"
general,"UNKLAB memiliki komunitas kampus yang dinamis"
general,"Informasi Alamat Unklab"
general,"Saya mau ke unklab, tapi tidak tahu alamat unklab. Bisa berikan saya alamat tempat, email dan nomor telepon yang bisa dihubungi?"
general,"Saya lupa password akun SIU saya"
general,"Akreditasi INSTITUSI & PROGRAM STUDI"
general,"sarana dan prasarana yang dirasa di unklab"
general,"Terdapat berapa fakultas di unklab?"
general,"ada berapa fakultas atau prodi di unklab?"
general,"Unklab ejournal system"
general,"CogITo Smart Journal"
general,"Pengabdian Kepada Masyarakat (PKM)"
general,"universitas klabat disingkat Unklab"
general,"universitas klabat didirikan pada tangal 7 Oktober 1965"
general,"Bidang ilmu yang Dikelola oleh unklab"
general,"Gereja Masehi Advent Hari Ketujuh (disingkat GMAHK)"
general,"Apa yang ditawarkan oleh universitas klabat?"
general,"Siapa nama rektor universitas klabat?"
general,"rektor unklab?"
general,"Siapa wakil rektor bagian akademis?"
general,"Fakultas apa yang paling terbaik di unklab?"
general,"rektor universitas klabat?"
general,"siapa yang menjadi rektor unklab sekarang?"
general,"siapa rektor unklab?"
general,"siapa rektor di unklab"
general,"nama rektor di unklab sekarang?"
general,"siapa nama rektor di unklab sekarang?"
general,"siapa rektor sekarang?"
general,"siapa wakil rektor unklab?"
general,"siapa rektor di unklab sekarang?"
general,"Sebutkan 3 wakil rektor yang ada di Unklab?"
general,"3 wakil rektor yang ada di Unklab?"
general,"3 wakil rektor?"
general,"3 wakil rektor Unklab?"
general,"3 wakil rektor di unklab?"
general,"3 wakil rektor di universitas klabat (Unklab)"
general,"nama wakil rektor bidang akademis universitas klabat?"
general,"nama wakil rektor bidang akademis unklab?"
general,"Siapa nama wakil rektor bidang akademis universitas klabat?"
general,"nama wakil rektor bidang keuangan unklab?"
general,"nama wakil rektor bidang keuangan universitas klabat?"
general,"Siapa nama wakil rektor bidang keuangan universitas klabat?"
general,"nama wakil rektor bidang kemahasiswaan universitas klabat?"
general,"Siapa nama wakil rektor bidang kemahasiswaan universitas klabat?"
general,"Siapa nama wakil rektor bidang kemahasiswaan unklab?"
general,"Apa program studi yang ditawarkan oleh universitas klabat?"
general,"Apa saja fasilitas yang tersedia di universitas klabat?"
general,"Apakah universitas klabat memiliki kampus lain selain di Manado?"
general,"Apa saja kegiatan ekstrakurikuler yang ada di universitas klabat?"
general,"Siapa pendiri dari universitas klabat?"
general,"Apakah universitas klabat memiliki program pertukaran pelajar?"
general,"Who is the rector of Klabat University?"
general,"How is the president of klabat universit?"
general,"What study programs are offered by Klabat University?"
general,"What facilities are available at Klabat University?"
general,"What are the tuition fees at Klabat University?"
general,"Does Klabat University have campuses other than in Manado?"
general,"What extracurricular activities are available at Klabat University?"
general,"What is the history of Klabat University's establishment?"
general,"Who is the founder of Klabat University?"
general,"Does Klabat University have a student exchange program?"
general,"bisakah kamu membantu saya untuk mencari informasi tentang unklab?"
general,"fakultas apa yang terbaik di unklab?"
general,"fakultas apa yang paling bagus di unklab?"
general,"fakultas apa yang menawarkan karir yang bagus di unklab?"
general,"fakultas apa yang paling disukai di unklab?"
general,"fakultas apa yang paling banyak mahasiswa di unklab?"
general,"bagaimana cara mengunjungi perpustakaan di unklab?"
general,"apakah benar di universitas klabat terdapat fakultas ?"
general,"apakah di universitas klabat terdapat fakultas ?"
general,"apakah di unklab terdapat fakultas ?"
general,"Berapa tahun untuk menyelesaikan gelar s1 di unklab?"
general,"Jika ada masalah akademis di unklab harus di konsultasikan ke siapa?"
general,"Bagaimana cara untuk bayar uang kuliah di unklab?"
general,"Mengapa di unklab tidak bisa mengrokok?"
general,"Mengapa di universitas klabat tidak bisa mengrokok?"
general,"Mengapa saya harus memilih universitas klabat?"
general,"Mengapa saya harus memilih unklab?"
general,"apa kelebihan universitas klabat?"
general,"apa kelebihan universitas klabat dengan campus lain?"
general,"apa kelebihan unklab?"
general,"siapa bendahara unklab?"
general,"siapa nama sekretaris rektor unklab?"
general,"apa kekurangan di universitas klabat?"
general,"apa kekurangan di unklab?"
general,"Dimana lokasi ruangan dari business office?"
general,"Dimana lokasi ruangan dari fakultas?"
general,"Universitas klabat peringkat keberapa di sulawesi utara?"
general,"Dosen unklab lulusan dari mana saja?"
general,"apa kepanjangan dari SIU?"
general,"Apakah unklab menggunakan bahasa inggris?"
general,"Apakah universitas klabat menggunakan bahasa inggris?"
general,"Apakah unklab harus menggunakan bahasa inggris?"
general,"Apakah unklab termasuk Bilingual Campus"
general,"Berapa jauh dari manado ke campus unklab?"
general,"Apakah kamu memiliki konteks percakapan yang tepat?"
general,"Hai, bagaimana kabarmu?"
general,"Apa yang kamu lakukan hari ini?"
general,"Apakah kamu punya rencana untuk akhir pekan ini?"
general,"Apa yang kamu pikirkan tentang topik ini?"
general,"Bagaimana cara terbaik untuk menyelesaikan masalah ini?"
general,"Apa yang bisa saya lakukan untuk membantu?"
general,"Apa yang membuatmu tertarik dengan hal ini?"
general,"Apa yang bisa saya lakukan untuk membuatmu senang?"
general,"Apa yang bisa saya lakukan untuk membuatmu merasa nyaman?"
general,"Apa yang bisa saya"
general,"Can you help me find information about unklab?"
general,"What is the best faculty at unklab?"
general,"What is the best faculty at unklab?"
general,"What faculties offer good careers at unklab?"
general,"What is the most favored faculty in unklab?"
General,"What faculty has the most students at unklab?"
General,"How do I visit the library at unklab?"
general,"Is it true that there are faculties at Klabat University?"
General,"Is there a faculty at Klabat University?"
general,"Is there a faculty at unklab?"
general,"How many years does it take to complete a bachelor's degree at unklab?"
general,"If there are academic problems at unklab who should be consulted?"
general,"How do I pay tuition fees at unklab?"
general,"Why can not you smoke in unklab?"
general,"Why should I choose unklab?"
general,"What are the advantages of Klabat University?"
General,"What are the advantages of Klabat University over other campuses?"
general,"what are the advantages of unklab?"
general,"what are the disadvantages at Klabat University?"
general,"what are the disadvantages of unklab?"
general,"Where is the location of the business office room?"
general,"Where is the location of the faculty room?"
general,"Klabat University is ranked number one in North Sulawesi?"
general,"Which unklab lecturers have graduated from?"
general,"what does SIU stand for?"
general,"Does unklab use English?"
general,"Does klabat university use English?"
general,"Does unklab have to use English?"
general,"Is unklab a Bilingual Campus"
general,"How far is it from Manado to the unklab campus?"
general,"Do you have the right conversational context?"
general,"what does unklab stand for?"
general,"how many lecturers are there in unklab?"
general,"lecturers in what faculty?"
general,"how many faculties at klabat university?"
general,"what does the word unklab stand for?"
general,"what does the term unklab stand for?"
General,"I am happy with unklab."
General,"How big is Klabat University?"
general,"klabat university"
general,"university of klabat (Unklab)"
general,"what is unklab?"
general,"do you know about unklab?"
general,"do you know about klabat university?"
general,"what is klabat university?"
general,"Dosen yang paling killer di universitas klabat?"
general,"Siapa dosen yang paling baik di unklab?"
general,"berapa jumlah mahasiswa di universitas klabat sekarang?"
general,"Ceritakan sedikit informasi tentang rektor unklab."
general,"Ceritakan sedikit informasi tentang istri dari."
general,"apa gelar terakhir dari wakil rektor bidang ?"
general,"apa yang unik dari campus unklab?"
general,"apa yang menarik dari campus universitas klabat?"
general,"apakah betul unklab hanya untuk orang kaya?"
general,"apakah di unklab biaya kuliah mahal?"
biaya,"apakah kuliah di unklab mahal?"
biaya,"Berapa biaya kuliah di unklab?"
biaya,"info biaya kuliah?"
biaya,"Kapan jadwal masuk kuliah di unklab?"
biaya,"info biaya kuliah per semester?"
biaya,"Berapa biaya kuliah di universitas klabat?"
biaya,"Bagaimana cara pembayaran biaya kuliah di universitas klabat?"
biaya,"Apa saja komponen biaya kuliah di universitas klabat?"
biaya,"Apakah universitas klabat memberikan beasiswa kepada mahasiswa?"
biaya,"Berapa biaya pemondokan di universitas klabat?"
biaya,"Apa saja fasilitas yang disediakan dalam biaya pemondokan di universitas klabat?"
biaya,"Apakah pemondokan di universitas klabat wajib?"
biaya,"Apakah biaya pemondokan termasuk dalam biaya kuliah di universitas klabat?"
biaya,"Apakah ada opsi pemondokan di luar kampus di universitas klabat?"
biaya,"Apakah universitas klabat memberikan subsidi pemondokan kepada mahasiswa?"
biaya,"Apakah ada program keringanan biaya kuliah di universitas klabat?"
biaya,"Berapa biaya kuliah untuk program studi tertentu di universitas klabat?"
biaya,"Apakah biaya kuliah di universitas klabat dapat dicicil?"
biaya,"Bagaimana cara mendapatkan informasi lebih lanjut mengenai biaya kuliah di universitas klabat?"
biaya,"bisakah memberikan sedikit info rincian biaya kuliah?"
biaya,"bisa kah kamu memberikan rincian biaya kuliah di unklab?"
biaya,"bisa kah kamu memberikan rincian biaya kuliah di unklab?"
biaya,"tolong berikan rincian biaya kuliah di unklab?"
biaya,"rincian biaya kuliah di unklab?"
biaya,"berikan rincian biaya kuliah di unklab?"
biaya,"bantu berikan rincian biaya kuliah di unklab?"
biaya,"detail rincian biaya kuliah di universitas klabat?"
biaya,"dapatkah kamu memberikan rincian biaya kuliah di unklab?"
biaya,"bagaimana cara membayar spp di unklab?"
biaya,"Berapa biaya untuk satu semester di unklab?"
biaya,"Berikan nomor kontak dari unklab?"
biaya,"Dimana alamat kampus unklab?"
biaya,"fakultas yang paling mahal di unklab?"
pendaftaran,"informasi pendaftaran."
pendaftaran,"apa saja yang perlu di siapkan untuk pendaftaran mahasiswa baru?"
pendaftaran,"dokumen apa saja yang perlu di siapkan untuk pendaftaran unklab?"
pendaftaran,"apakah pendaftaran di unklab sudah dibuka?"
pendaftaran,"kapan pendaftaran di unklab?"
pendaftaran,"bagaimana cara mendaftar di unklab?"
pendaftaran,"bagaimana cara untuk mendaftar sebagain mahasiswa baru di unklab?"
pendaftaran,"kapan pendaftaran mahasiswa baru di unklab?"
pendaftaran,"kapan pendaftaran di universitas klabat?"
pendaftaran,"kapan test masuk mahasiswa baru?"
pendaftaran,"biaya pendaftaran di unklab?"
pendaftaran,"berapa biaya pendaftaran di unklab?"
pendaftaran,"berapa biaya pendaftaran mahasiswa baru di unklab?"
pendaftaran,"kapan penerimaan mahasiswa baru di unklab?"
pendaftaran,"berapa biaya tes masuk di unklab?"
pendaftaran,"saya suka masuk di unklab, apakah bisa?"
pendaftaran,"saya suka masuk di unklab."
pendaftaran,"saya suka join di unklab."
pendaftaran,"syarat dan ketentuan pendfataran di unklab?"
pendaftaran,"jadwal test masuk mahasiswa baru?"
pendaftaran,"Calon Mahasiswa Baru dapat memilih untuk mengikuti Tes Masuk"
pendaftaran,"Jadwal Seleksi untuk calon mahasiswa baru PROFESI NERS"
pendaftaran,"Tes kemampuan akademik berbasis komputer (CBT)"
pendaftaran,"Tutorial cara melakukan transfer lewat UNKLAB virtual account"
pendaftaran,"Persyaratan untuk mengikuti Seleksi Calon Mahasiswa Baru Prefesi Ners"
pendaftaran,"Berapa biaya pendaftaran mahasiswa di universitas klabat?"
pendaftaran,"Tolong informasikan tentang biaya pendaftaran di universitas klabat."
pendaftaran,"Saya ingin tahu berapa biaya pendaftaran mahasiswa di universitas klabat."
pendaftaran,"Apakah ada informasi mengenai biaya pendaftaran di universitas klabat?"
pendaftaran,"Mohon berikan rincian biaya pendaftaran mahasiswa baru di universitas klabat."
pendaftaran,"Bagaimana cara mengetahui biaya pendaftaran mahasiswa di universitas klabat?"
pendaftaran,"Siapa yang dapat memberikan informasi tentang biaya pendaftaran di universitas klabat?"
pendaftaran,"Bolehkah saya menanyakan tentang biaya pendaftaran mahasiswa baru di universitas klabat?"
pendaftaran,"Tolong berikan informasi terkait biaya pendaftaran di universitas klabat."
pendaftaran,"Saya ingin mengetahui biaya pendaftaran untuk mahasiswa baru di universitas klabat."
pendaftaran,"Apakah universitas klabat memiliki informasi mengenai biaya pendaftaran mahasiswa baru?"
pendaftaran,"Mohon berikan detail biaya pendaftaran mahasiswa baru di universitas klabat."
pendaftaran,"Siapa yang bisa saya hubungi untuk mendapatkan informasi tentang biaya pendaftaran di universitas klabat?"
pendaftaran,"Apakah ada kontak yang bisa saya hubungi untuk menanyakan biaya pendaftaran di universitas klabat?"
pendaftaran,"Bagaimana cara mendapatkan informasi biaya pendaftaran mahasiswa baru di universitas klabat?"
pendaftaran,"Bagaimana saya bisa mendaftar di universitas klabat?"
pendaftaran,"How can I apply to Klabat University?"
pendaftaran,"tanggal berapa pendaftaran di buka?"
pendaftaran,"tanggal berapa pendaftaran mahasiswa baru di buka?"
pendaftaran,"Dokumen apa yang harus di siapkan untuk mendaftar di unklab?"
pendaftaran,"Kenapa mahasiswa baru harus masuk di asrama unklab?"
pendaftaran,"siapa yang bisa saya hubungi untuk pendafataran unklab?"
grading,"berikan informasi tentang cara penilaian di universitas klabat?"
grading,"cara penilaian atau grading di universitas klabat?"
grading,"bagaimana cara dosen memberikan nilai?"
grading,"apakah ada atauran untuk pemberian nilai di unklab?"
grading,"tampilkan grading system di unklab?"
grading,"bagaimana cara evaluasi nilai mahasiswa?"
grading,"Bagaimana sistem penilaian atau grading di universitas klabat?"
grading,"Tolong jelaskan tentang cara penilaian atau grading system di universitas klabat."
grading,"Saya ingin tahu bagaimana sistem penilaian mahasiswa di universitas klabat."
grading,"Apakah ada informasi mengenai cara penilaian atau grading di universitas klabat?"
grading,"Mohon berikan penjelasan tentang grading system yang digunakan di universitas klabat."
grading,"Bagaimana cara mengetahui sistem penilaian mahasiswa di universitas klabat?"
grading,"Siapa yang dapat memberikan informasi tentang cara penilaian atau grading di universitas klabat?"
grading,"Bolehkah saya menanyakan tentang sistem penilaian atau grading mahasiswa di universitas klabat?"
grading,"Tolong berikan informasi terkait cara penilaian atau grading di universitas klabat."
grading,"Saya ingin mengetahui cara penilaian mahasiswa di universitas klabat."
grading,"Apakah universitas klabat memiliki informasi mengenai grading system yang digunakan?"
grading,"Mohon berikan detail tentang sistem penilaian mahasiswa di universitas klabat."
grading,"Siapa yang bisa saya hubungi untuk mendapatkan informasi tentang cara penilaian atau grading di universitas klabat?"
grading,"Apakah ada kontak yang bisa saya hubungi untuk menanyakan tentang sistem penilaian mahasiswa di universitas klabat?"
grading,"Bagaimana cara mendapatkan informasi tentang cara penilaian atau grading system di universitas klabat?"
grading,"bagaimana cara dosen unklab memberikan nilai? apakah sesuai standar?"
grading,"bagaimana cara dosen unklab memberikan nilai?"
grading,"bagaimana proses penilaian di unklab?"
grading,"Apakah dosen di unklab bermutu?"
sejarah,"ceritakan sedikit sejarah tentang unklab?"
sejarah,"ceritakan sedikit sejarah unklab?"
sejarah,"apa ya sejarah dari unklab?"
sejarah,"coba jelaskan singkat sejarah unklab?"
sejarah,"coba jelaskan sejarah universitas klabat?"
sejarah,"unklab didirikan tahun berapa?"
sejarah,"Tahun 1965 universitas klabat (UNKLAB) didirikan"
sejarah,"Tahun berapa unklab didirikan?"
sejarah,"Berapa umur unklab sekarang?"
sejarah,"Berapa umur universitas klabat sekarang?"
sejarah,"umur unklab sekarang?"
sejarah,"Berapa umur unklab sejak didirikan?"
sejarah,"apa nama awal unklab pada saat di dirikan?"
sejarah,"apa arti dari lambang unklab?"
sejarah,"lambang unklab artinya apa?"
sejarah,"ceritakan dengan singkat sejarah unklab?"
sejarah,"siapa rektor pertama unklab?"
sejarah,"arti logo dari unklab?"
sejarah,"apa logo dari unklab?"
sejarah,"apa lambang dari unklab?"
sejarah,"apa lambang dari universitas klabat?"
sejarah,"apa arti lambang dari unklab?"
sejarah,"Tolong ceritakan tentang sejarah universitas klabat."
sejarah,"Bagaimana sejarah terbentuknya universitas klabat?"
sejarah,"Saya ingin tahu lebih banyak tentang sejarah di universitas klabat."
sejarah,"Apakah ada informasi mengenai sejarah pendirian universitas klabat?"
sejarah,"Mohon berikan gambaran tentang sejarah universitas klabat."
sejarah,"Bagaimana perjalanan sejarah universitas klabat?"
sejarah,"Siapa yang dapat memberikan informasi sejarah universitas klabat?"
sejarah,"Bolehkah saya menanyakan tentang sejarah universitas klabat?"
sejarah,"Tolong berikan informasi terkait sejarah di universitas klabat."
sejarah,"Saya ingin mengetahui latar belakang sejarah universitas klabat."
sejarah,"Apakah universitas klabat memiliki informasi sejarah yang lengkap?"
sejarah,"Mohon berikan detail sejarah universitas klabat."
sejarah,"Siapa yang bisa saya hubungi untuk mendapatkan informasi tentang sejarah universitas klabat?"
sejarah,"Apakah ada kontak yang bisa saya hubungi untuk menanyakan sejarah universitas klabat?"
sejarah,"Bagaimana cara mendapatkan informasi sejarah di universitas klabat?"
sejarah,"Bagaimana sejarah berdirinya universitas klabat?"
sejarah,"Bagaimana awal terbentuknya universitas klabat?"
visimisi,"apa visi dan misi dari unklab?"
visimisi,"sebutkan visi dan misi dari unklab?"
visimisi,"apa misi dari unklab?"
visimisi,"apa visi dari unklab?"
visimisi,"jelaskan visi dan misi universitas klabat?"
visimisi,"jelaskan visi dan misi unklab?"
